PDB_ID,entity_id,Seq_id,evalue,Score,Resolution,Pubmed_id,Polymer,Assembly,Method,pH,Temp,pdbx_details,pdbx_pH_range,Non_polymers,compound,Ligands,pH_low,pH_high,plot_pH,err_low,err_high,has_ph,has_temp,plot_pH_numeric,pH_plot,temp_plot,PEG_con_plot,marker,row_id
9Z6B,1,100.0,9.988e-220,0.8138,2.7,41557701.0,uni_pol,monomeric,vapor diffusion sitting drop,8.2,277.15,'1.8 M sodium/potassium phosphate pH 8.2',,{'view_3d_url': 'https://www.rcsb.org/3d-view/9Z6B'},'sodium/potassium phosphate' (1.8 M),{'view_3d_url': 'https://www.rcsb.org/3d-view/9Z6B'},,,8.2,0.0,0.0,True,True,8.2,8.2,277.15,,^,10
7NT4,1,100.0,9.072e-219,0.8133,2.68,35021060.0,uni_pol,monomeric(*),vapor diffusion sitting drop,6.5,298.0,";0.05 M Sodium cacodylate pH 6.5 
0.2 M Potassium chloride,
 0.1 M Magnesium acetate  
10 %(w/v) PEG 8000
;",,{'view_3d_url': 'https://www.rcsb.org/3d-view/7NT4'},"'sodium cacodylate' (0.05 M), 'potassium chloride' (0.2 M), 'magnesium acetate' (0.1 M), 'PEG 8000' (10% w/v)",{'view_3d_url': 'https://www.rcsb.org/3d-view/7NT4'},,,6.5,0.0,0.0,True,True,6.5,6.5,298.0,10.0,^,11
"7LBS, 7LOS",1,100.0,9.072e-219,0.8133,2.8,33594371.0,uni_pol,monomeric(*),vapor diffusion hanging drop,6.5,289.0,"'0.1M MIB buffer pH 6.5, 0.2M (NH4)2SO4, 13-16% PEG 3350, 20% glycerol'",13-16,{'view_3d_url': 'https://www.rcsb.org/3d-view/7LBS'},"'ammonium sulfate' (0.2 M), 'PEG 3350' (13-16%), 'glycerol' (20%)",{'view_3d_url': 'https://www.rcsb.org/3d-view/7LBS'},13.0,16.0,6.5,0.0,0.0,True,True,6.5,6.5,289.0,16.0,s,12
7OFS,1,100.0,9.072e-219,0.8133,1.9,35953531.0,uni_pol,monomeric,vapor diffusion sitting drop,8.0,277.0,";Co-crystallization with the compounds was achieved mixing 0.2 uL of protein solution (22 mg/mL) in 50 mM TRIS buffer (pH 8.0) containing 1 mM TCEP and 150 mM NaCl with 0.1 uL of reservoir solution consisting of 1.0M NaH2PO4/1.0MKH2PO4, 100mM Tris_HCl pH=7.5. This growth solution was equilibrated by sitting drop vapor diffusion against 80 uL reservoir solution. Prior to crystallization 100 nL droplets of 10 mM compound solutions in DMSO were applied to the wells of SwissCI 96-well plates (2-well) and subsequently dried in vacuum.
;",,{'view_3d_url': 'https://www.rcsb.org/3d-view/7OFS'},"'Tris-HCl' (50 mM), 'sodium chloride' (150 mM), 'Tris-HCl' (100 mM)",{'view_3d_url': 'https://www.rcsb.org/3d-view/7OFS'},,,8.0,0.0,0.0,True,True,8.0,8.0,277.0,,^,13
7QCH,1,100.0,9.072e-219,0.8133,1.88,35480391.0,uni_pol,monomeric,vapor diffusion sitting drop,8.0,277.0,"'0.1 M Tris-HCl pH 8.0, 10% glycerol, 0.8 M sodium dihydrogenphosphate, 1.2 M potassium hydrogenphosphate'",,{'view_3d_url': 'https://www.rcsb.org/3d-view/7QCH'},"'Tris-HCl' (0.1 M), 'glycerol' (10%), 'n-octyl-beta-D-glucoside' (nan), 'n-octyl-beta-D-glucoside' (nan)",{'view_3d_url': 'https://www.rcsb.org/3d-view/7QCH'},,,8.0,0.0,0.0,True,True,8.0,8.0,277.0,,^,14
8UUH,1,100.0,9.072e-219,0.8133,2.8,38547259.0,uni_pol,monomeric,vapor diffusion sitting drop,6.0,277.0,"'0.2M Zinc Acetate, 0.1M Bis Tris pH 6.0, 10% PEG 8000'",5.5-6.5,{'view_3d_url': 'https://www.rcsb.org/3d-view/8UUH'},"'zinc acetate' (0.2 M), 'Bis-Tris' (0.1 M), 'PEG 8000' (10%)",{'view_3d_url': 'https://www.rcsb.org/3d-view/8UUH'},5.5,6.5,6.0,0.0,0.0,True,True,6.0,6.0,277.0,10.0,^,15
8UUU,1,100.0,9.072e-219,0.8133,3.01,38547259.0,uni_pol,monomeric,vapor diffusion sitting drop,5.9,277.0,"'0.2M Zinc Acetate, 0.1M BisTris pH 5.9, 12% PEG 8000'",5.5-6.5,{'view_3d_url': 'https://www.rcsb.org/3d-view/8UUU'},"'zinc acetate' (0.2 M), 'Bis-Tris' (0.1 M), 'PEG 8000' (12%)",{'view_3d_url': 'https://www.rcsb.org/3d-view/8UUU'},5.5,6.5,5.9,0.0,0.0,True,True,5.9,5.9,277.0,12.0,^,16
8UVM,1,100.0,9.072e-219,0.8133,2.85,38547259.0,uni_pol,monomeric(*),vapor diffusion hanging drop,6.7,277.0,"'2.5M Ammonium Sulfate, 0.1M Sodium citrate dibasic trihydrate pH 6.7'",,{'view_3d_url': 'https://www.rcsb.org/3d-view/8UVM'},"'ammonium sulfate' (2.5 M), 'sodium citrate' (0.1 M)",{'view_3d_url': 'https://www.rcsb.org/3d-view/8UVM'},,,6.7,0.0,0.0,True,True,6.7,6.7,277.0,,s,17
8IHO,1,100.0,9.072e-219,0.8133,2.55,37239980.0,complex,tetrameric,vapor diffusion sitting drop,,293.0,"'0.2 M sodium bromide, 20% w/v PEG 3350'",,{'view_3d_url': 'https://www.rcsb.org/3d-view/8IHO'},"'sodium bromide' (0.2 M), 'PEG 3350' (20% w/v)",{'view_3d_url': 'https://www.rcsb.org/3d-view/8IHO'},,,,0.0,0.0,False,True,,4.0,293.0,20.0,^,18
7NFV,1,100.0,9.072e-219,0.8133,1.42,35953531.0,uni_pol,monomeric,vapor diffusion,7.5,277.0,";1.0M NaH2PO4/1.0MKH2PO4
100mM Tris_HCl pH=7.5
;",,{'view_3d_url': 'https://www.rcsb.org/3d-view/7NFV'},"'NaH2PO4' (1.0 M), 'Tris-HCl' (100 mM)",{'view_3d_url': 'https://www.rcsb.org/3d-view/7NFV'},,,7.5,0.0,0.0,True,True,7.5,7.5,277.0,,o,19
8UUG,1,100.0,9.072e-219,0.8133,2.74,38547259.0,uni_pol,monomeric,vapor diffusion sitting drop,6.3,277.0,"'0.2M Zinc Acetate, 0.1M BisTris pH 6.3, 8% PEG 8000'",5.5-6.5,{'view_3d_url': 'https://www.rcsb.org/3d-view/8UUG'},"'zinc acetate' (0.2 M), 'Bis-Tris' (0.1 M), 'PEG 8000' (8%)",{'view_3d_url': 'https://www.rcsb.org/3d-view/8UUG'},5.5,6.5,6.3,0.0,0.0,True,True,6.3,6.3,277.0,8.0,^,20
7KOL,1,100.0,9.072e-219,0.8133,2.58,,uni_pol,monomeric,vapor diffusion hanging drop,6.0,277.0,"'0.1 M MES buffer, 0.2 M zinc acetate, 10% PEG 8000, 4 mM PLP_Snyder496'",,{'view_3d_url': 'https://www.rcsb.org/3d-view/7KOL'},"'MES' (0.1 M), 'zinc acetate' (0.2 M), 'PEG 8000' (10%), 'PLP_Snyder496' (4 mM)",{'view_3d_url': 'https://www.rcsb.org/3d-view/7KOL'},,,6.0,0.0,0.0,True,True,6.0,6.0,277.0,10.0,s,21
8FWO,1,100.0,9.072e-219,0.8133,1.8,,uni_pol,monomeric,vapor diffusion sitting drop,4.5,277.0,"'100 mM Sodium acetate, 0.8 M Monosodium phosphate, 1.2 M Dipotassium hydrogen phosphate'",,{'view_3d_url': 'https://www.rcsb.org/3d-view/8FWO'},"'sodium acetate' (100 mM), 'NaH2PO4' (0.8 M), 'Dipotassium hydrogen phosphate' (1.2 M)",{'view_3d_url': 'https://www.rcsb.org/3d-view/8FWO'},,,4.5,0.0,0.0,True,True,4.5,4.5,277.0,,^,22
