PDB_ID,score,Resolution,pubmed_id,Assembly,method,pH,temp,pdbx_details,pdbx_pH_range,ligands,COMPOUNDS (con_unit=mM)
13OR,0.60608633,2.54,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CVN","['sodium maleate', '1400.0']"
13OT,0.60608633,2.22,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1EHY","['sodium maleate', '1400.0']"
13OS,0.60608633,2.45,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CVO","['sodium maleate', '1400.0']"
13OX,0.60608633,2.76,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1AXZ","['sodium maleate', '1400.0']"
13OY,0.60608633,2.68,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1AXA","['sodium maleate', '1400.0']"
13PA,0.60608633,2.76,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CVZ","['sodium maleate', '1400.0']"
13PF,0.60608633,2.41,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CV2","['sodium maleate', '1400.0']"
13PD,0.60608633,2.62,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, SNU","['sodium maleate', '1400.0']"
13PG,0.60608633,2.29,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CV3","['sodium maleate', '1400.0']"
13PH,0.60608633,2.84,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, 8K2","['sodium maleate', '1400.0']"
13PI,0.60608633,2.15,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, SLS","['sodium maleate', '1400.0']"
13PJ,0.60608633,2.27,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, 2O8","['sodium maleate', '1400.0']"
13PL,0.60608633,2.55,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CV4","['sodium maleate', '1400.0']"
13PQ,0.60608633,2.23,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, RZN","['sodium maleate', '1400.0']"
13PP,0.60608633,2.98,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, 3C5","['sodium maleate', '1400.0']"
13PW,0.60608633,2.7,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CWE","['sodium maleate', '1400.0']"
13PY,0.60608633,2.27,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1AW1","['sodium maleate', '1400.0']"
13QA,0.60608633,1.8,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CWH","['sodium maleate', '1400.0']"
13QK,0.60608633,2.49,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CWP","['sodium maleate', '1400.0']"
13QF,0.60608633,2.25,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1AW7","['sodium maleate', '1400.0']"
13QQ,0.60608633,2.41,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CWW","['sodium maleate', '1400.0']"
13QU,0.60608633,2.1,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1AY3","['sodium maleate', '1400.0']"
13QW,0.60608633,2.03,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CW3","['sodium maleate', '1400.0']"
13QY,0.60608633,2.36,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CW6","['sodium maleate', '1400.0']"
13QZ,0.60608633,1.99,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CW7, MLI","['sodium maleate', '1400.0']"
13RA,0.60608633,2.0,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CW8","['sodium maleate', '1400.0']"
13RB,0.60608633,1.68,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CW9","['sodium maleate', '1400.0']"
13RD,0.60608633,1.89,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CXB","['sodium maleate', '1400.0']"
13RC,0.60608633,2.28,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CXA","['sodium maleate', '1400.0']"
13MJ,0.60592377,2.06,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CT0","['sodium maleate', '1400.0']"
13MO,0.60592377,2.45,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CUB","['sodium maleate', '1400.0']"
13MP,0.60592377,2.42,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CUC","['sodium maleate', '1400.0']"
13MU,0.60592377,1.93,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1AY2","['sodium maleate', '1400.0']"
13MY,0.60592377,2.0,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"MLI, A1CUO, ZN","['sodium maleate', '1400.0']"
13NA,0.60592377,2.37,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CUQ","['sodium maleate', '1400.0']"
13NB,0.60592377,2.81,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CUR","['sodium maleate', '1400.0']"
13NE,0.60592377,2.09,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, 0OL","['sodium maleate', '1400.0']"
13NG,0.60592377,2.35,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, 60Q","['sodium maleate', '1400.0']"
13NH,0.60592377,2.67,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"A1EE6, ZN","['sodium maleate', '1400.0']"
13NP,0.60592377,2.18,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1AYN","['sodium maleate', '1400.0']"
13NQ,0.60592377,2.3,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1AY4","['sodium maleate', '1400.0']"
13NV,0.60592377,2.86,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1AY6","['sodium maleate', '1400.0']"
13NW,0.60592377,2.37,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CU9","['sodium maleate', '1400.0']"
13NZ,0.60592377,1.97,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, W77","['sodium maleate', '1400.0']"
13NY,0.60592377,2.05,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1AA8","['sodium maleate', '1400.0']"
13OC,0.60592377,1.81,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, SNJ","['sodium maleate', '1400.0']"
13OD,0.60592377,2.15,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, 9TW","['sodium maleate', '1400.0']"
13OE,0.60592377,1.85,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CVC","['sodium maleate', '1400.0']"
13OF,0.60592377,2.42,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CVD","['sodium maleate', '1400.0']"
13OL,0.60592377,2.01,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CVI","['sodium maleate', '1400.0']"
13OM,0.60592377,2.06,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CVJ","['sodium maleate', '1400.0']"
13OP,0.60592377,2.99,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CVL","['sodium maleate', '1400.0']"
13OQ,0.60592377,2.45,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CVM","['sodium maleate', '1400.0']"
13OU,0.60592377,2.6,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CVV","['sodium maleate', '1400.0']"
13OZ,0.60592377,2.76,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, HX8","['sodium maleate', '1400.0']"
13PE,0.60592377,2.37,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CV1","['sodium maleate', '1400.0']"
13PM,0.60592377,2.44,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CV5","['sodium maleate', '1400.0']"
13PN,0.60592377,2.11,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CV6","['sodium maleate', '1400.0']"
13PR,0.60592377,2.37,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, 54F","['sodium maleate', '1400.0']"
13PT,0.60592377,2.64,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CWC","['sodium maleate', '1400.0']"
13PU,0.60592377,2.18,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CWD","['sodium maleate', '1400.0']"
13PX,0.60592377,2.47,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CWF","['sodium maleate', '1400.0']"
13PZ,0.60592377,2.56,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CWG","['sodium maleate', '1400.0']"
13QB,0.60592377,2.42,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1ENG","['sodium maleate', '1400.0']"
13QD,0.60592377,1.92,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1EHF","['sodium maleate', '1400.0']"
13QG,0.60592377,2.43,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CWJ","['sodium maleate', '1400.0']"
13QH,0.60592377,2.84,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1AW9","['sodium maleate', '1400.0']"
13QM,0.60592377,2.12,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CWU","['sodium maleate', '1400.0']"
13QI,0.60592377,2.82,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CWN","['sodium maleate', '1400.0']"
13QO,0.60592377,2.04,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CWV","['sodium maleate', '1400.0']"
13QV,0.60592377,2.03,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CW2","['sodium maleate', '1400.0']"
13QR,0.60592377,2.04,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CWZ","['sodium maleate', '1400.0']"
13QP,0.60592377,2.16,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1EE3","['sodium maleate', '1400.0']"
13MK,0.605864435,2.26,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1AYD","['sodium maleate', '1400.0']"
13RH,0.60592377,1.98,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CXG","['sodium maleate', '1400.0']"
13ML,0.605864435,2.16,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CT1","['sodium maleate', '1400.0']"
13MM,0.605864435,2.14,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, 6OT","['sodium maleate', '1400.0']"
13MV,0.605864435,2.47,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CUK","['sodium maleate', '1400.0']"
13MT,0.605864435,1.94,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, X4P","['sodium maleate', '1400.0']"
13MZ,0.605864435,2.09,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CUP","['sodium maleate', '1400.0']"
13NC,0.605864435,1.94,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CUS","['sodium maleate', '1400.0']"
13NI,0.605864435,1.94,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, F2L","['sodium maleate', '1400.0']"
13NJ,0.605864435,2.09,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, XZT","['sodium maleate', '1400.0']"
13OA,0.605864435,2.12,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1AYG","['sodium maleate', '1400.0']"
13NX,0.605864435,2.24,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CVA","['sodium maleate', '1400.0']"
13OB,0.605864435,2.45,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CVB","['sodium maleate', '1400.0']"
13OG,0.605864435,2.08,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, V4X","['sodium maleate', '1400.0']"
13OI,0.605864435,2.86,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CVH","['sodium maleate', '1400.0']"
13OK,0.605864435,2.08,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CVF","['sodium maleate', '1400.0']"
13OV,0.605864435,2.2,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CVX","['sodium maleate', '1400.0']"
13OO,0.605864435,2.05,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CVP","['sodium maleate', '1400.0']"
13OW,0.605864435,2.98,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CVW","['sodium maleate', '1400.0']"
13PB,0.605864435,2.23,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1AX0","['sodium maleate', '1400.0']"
13PC,0.605864435,2.28,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CV0","['sodium maleate', '1400.0']"
13PS,0.605864435,2.41,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1AX8","['sodium maleate', '1400.0']"
13PV,0.605864435,2.17,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, UTG","['sodium maleate', '1400.0']"
13PO,0.605864435,2.0,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CV7","['sodium maleate', '1400.0']"
13QC,0.605864435,2.22,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CWI","['sodium maleate', '1400.0']"
13QE,0.605864435,1.96,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1AW5","['sodium maleate', '1400.0']"
13QJ,0.605864435,2.58,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CWO","['sodium maleate', '1400.0']"
13QN,0.605864435,2.9,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, Y1H","['sodium maleate', '1400.0']"
13QL,0.605864435,2.24,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CWT","['sodium maleate', '1400.0']"
13QS,0.605864435,2.12,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CW0","['sodium maleate', '1400.0']"
13QT,0.605864435,1.75,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CW1","['sodium maleate', '1400.0']"
13RE,0.605864435,2.28,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CXC","['sodium maleate', '1400.0']"
13RF,0.605864435,2.83,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CXD","['sodium maleate', '1400.0']"
