query_id,pdb_id,score,Resolution,pubmed_id,apparatus,atmosphere,crystal_id,details,method,method_ref,pH,pressure,pressure_esd,seeding,seeding_ref,temp,temp_esd,temp_details,time,pdbx_details,pdbx_pH_range
UniRef100_A0A969S0Q7,1WWJ,0.9903846153846154,1.90,15716274,,,1,,'VAPOR DIFFUSION',,6.0,,,,,298.0,,?,,"'betaine, pH 6.0, VAPOR DIFFUSION, temperature 298.0K'",.
UniRef100_A0A969S0Q7,2QKE,0.970111030804168,2.7,18497745,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,5.0,,,,,293,,?,,"'10% PEG 3350, 10% DMSO, 0.1M ACETATE BUFFER, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_A0A969S0Q7,1VGL,0.9615384615384616,2.6,16227211,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,4.5,,,,,293,,?,,"'PEG 3350, DMSO, acetate, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_A0A969S0Q7,4KSO,0.9604956461887835,2.622,23796516,,,1,,'VAPOR DIFFUSION',,5.7,,,,,292,,?,,";KaiB were grown from droplets containing 6.5 mg/mL KaiB-KaiC complex, 20 mM Tris (pH 7.8), 100 mM NaCl, 5 mM MgCl2,1 mM ATP and 2 mM BME. The reservoir solution was 100 mM sodium acetate, 500 mM sodium formate and 5% glycerol (v/v), VAPOR DIFFUSION, temperature 292K
;",?
UniRef100_A0A969S0Q7,5JWQ,0.9268418000349373,3.871,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,5.75,?,?,?,?,295,?,?,?,'0.1M Sodium citrate pH 5.75 and 22% PEG3000',?
UniRef100_A0A969S0Q7,5JWO,0.9137570879315468,1.800,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,?,?,?,?,?,295,?,?,?,"'0.2M Potassium Acetate, 10% (w/v) PEG3350, and 2.5% glycerol'",?
UniRef100_A0A969S0Q7,5JWR,0.9137570879315468,2.610,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,7.0,?,?,?,?,295,?,?,?,"'0.15M Ammonium Sulfate, 0.1M Tris pH 7.0, 10% PEG 4000'",?
UniRef100_A0A969S0Q7,4KUN,0.49895718465032196,1.950,23957615,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,6.5,,,,,298,,?,,"'0.2 M sodium acetate, 0.1 M bis-Tris pH 6.5, 35% w/v PEG 8K, 1 mM zinc acetate, VAPOR DIFFUSION, HANGING DROP, temperature 298K'",?
UniRef100_A0A978T4R3,1R5P,1.0,2.20,15071498,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,7.0,,,,,298.0,,?,,"'PEG 400, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K'",.
UniRef100_A0A978T4R3,1WWJ,0.99,1.90,15716274,,,1,,'VAPOR DIFFUSION',,6.0,,,,,298.0,,?,,"'betaine, pH 6.0, VAPOR DIFFUSION, temperature 298.0K'",.
UniRef100_A0A978T4R3,2QKE,0.988957184650322,2.7,18497745,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,5.0,,,,,293,,?,,"'10% PEG 3350, 10% DMSO, 0.1M ACETATE BUFFER, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_A0A978T4R3,1VGL,0.98,2.6,16227211,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,4.5,,,,,293,,?,,"'PEG 3350, DMSO, acetate, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_A0A978T4R3,4KSO,0.958957184650322,2.622,23796516,,,1,,'VAPOR DIFFUSION',,5.7,,,,,292,,?,,";KaiB were grown from droplets containing 6.5 mg/mL KaiB-KaiC complex, 20 mM Tris (pH 7.8), 100 mM NaCl, 5 mM MgCl2,1 mM ATP and 2 mM BME. The reservoir solution was 100 mM sodium acetate, 500 mM sodium formate and 5% glycerol (v/v), VAPOR DIFFUSION, temperature 292K
;",?
UniRef100_A0A978T4R3,5JWQ,0.943957184650322,3.871,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,5.75,?,?,?,?,295,?,?,?,'0.1M Sodium citrate pH 5.75 and 22% PEG3000',?
UniRef100_A0A978T4R3,5JWO,0.9252955494700084,1.800,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,?,?,?,?,?,295,?,?,?,"'0.2M Potassium Acetate, 10% (w/v) PEG3350, and 2.5% glycerol'",?
UniRef100_A0A978T4R3,5JWR,0.9252955494700084,2.610,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,7.0,?,?,?,?,295,?,?,?,"'0.15M Ammonium Sulfate, 0.1M Tris pH 7.0, 10% PEG 4000'",?
UniRef100_A0A978T4R3,4KUN,0.49895718465032196,1.950,23957615,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,6.5,,,,,298,,?,,"'0.2 M sodium acetate, 0.1 M bis-Tris pH 6.5, 35% w/v PEG 8K, 1 mM zinc acetate, VAPOR DIFFUSION, HANGING DROP, temperature 298K'",?
UniRef100_A0A969G3X7,1R5P,1.0,2.20,15071498,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,7.0,,,,,298.0,,?,,"'PEG 400, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K'",.
UniRef100_A0A969G3X7,1WWJ,0.9854014598540146,1.90,15716274,,,1,,'VAPOR DIFFUSION',,6.0,,,,,298.0,,?,,"'betaine, pH 6.0, VAPOR DIFFUSION, temperature 298.0K'",.
UniRef100_A0A969G3X7,2QKE,0.9734097393948475,2.7,18497745,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,5.0,,,,,293,,?,,"'10% PEG 3350, 10% DMSO, 0.1M ACETATE BUFFER, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_A0A969G3X7,1VGL,0.9671532846715328,2.6,16227211,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,4.5,,,,,293,,?,,"'PEG 3350, DMSO, acetate, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_A0A969G3X7,4KSO,0.9661104693218547,2.622,23796516,,,1,,'VAPOR DIFFUSION',,5.7,,,,,292,,?,,";KaiB were grown from droplets containing 6.5 mg/mL KaiB-KaiC complex, 20 mM Tris (pH 7.8), 100 mM NaCl, 5 mM MgCl2,1 mM ATP and 2 mM BME. The reservoir solution was 100 mM sodium acetate, 500 mM sodium formate and 5% glycerol (v/v), VAPOR DIFFUSION, temperature 292K
;",?
UniRef100_A0A969G3X7,5JWQ,0.9405630240663804,3.871,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,5.75,?,?,?,?,295,?,?,?,'0.1M Sodium citrate pH 5.75 and 22% PEG3000',?
UniRef100_A0A969G3X7,5JWO,0.9273028487400813,1.800,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,?,?,?,?,?,295,?,?,?,"'0.2M Potassium Acetate, 10% (w/v) PEG3350, and 2.5% glycerol'",?
UniRef100_A0A969G3X7,5JWR,0.9273028487400813,2.610,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,7.0,?,?,?,?,295,?,?,?,"'0.15M Ammonium Sulfate, 0.1M Tris pH 7.0, 10% PEG 4000'",?
UniRef100_A0A969G3X7,4KUN,0.6193951408547015,1.950,23957615,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,6.5,,,,,298,,?,,"'0.2 M sodium acetate, 0.1 M bis-Tris pH 6.5, 35% w/v PEG 8K, 1 mM zinc acetate, VAPOR DIFFUSION, HANGING DROP, temperature 298K'",?
UniRef100_A0A969G3X7,6X61,0.5,3.200,34618577,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,?,?,?,?,?,295,?,?,?,"'1.26 M NaH2PO4, 0.54 M K2HPO4 (pH unadjusted), 0.1 M Glycine pH 10.5, 0.2 M Li2SO4, 22 degrees C'",?
UniRef100_A0A0V7ZCB6,1R5P,1.0,2.20,15071498,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,7.0,,,,,298.0,,?,,"'PEG 400, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K'",.
UniRef100_A0A0V7ZCB6,1WWJ,0.9856115107913669,1.90,15716274,,,1,,'VAPOR DIFFUSION',,6.0,,,,,298.0,,?,,"'betaine, pH 6.0, VAPOR DIFFUSION, temperature 298.0K'",.
UniRef100_A0A0V7ZCB6,2QKE,0.9665830839308975,2.7,18497745,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,5.0,,,,,293,,?,,"'10% PEG 3350, 10% DMSO, 0.1M ACETATE BUFFER, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_A0A0V7ZCB6,1VGL,0.960431654676259,2.6,16227211,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,4.5,,,,,293,,?,,"'PEG 3350, DMSO, acetate, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_A0A0V7ZCB6,4KSO,0.9521945947222644,2.622,23796516,,,1,,'VAPOR DIFFUSION',,5.7,,,,,292,,?,,";KaiB were grown from droplets containing 6.5 mg/mL KaiB-KaiC complex, 20 mM Tris (pH 7.8), 100 mM NaCl, 5 mM MgCl2,1 mM ATP and 2 mM BME. The reservoir solution was 100 mM sodium acetate, 500 mM sodium formate and 5% glycerol (v/v), VAPOR DIFFUSION, temperature 292K
;",?
UniRef100_A0A0V7ZCB6,5JWQ,0.934208983211473,3.871,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,5.75,?,?,?,?,295,?,?,?,'0.1M Sodium citrate pH 5.75 and 22% PEG3000',?
UniRef100_A0A0V7ZCB6,5JWO,0.9211588588225263,1.800,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,?,?,?,?,?,295,?,?,?,"'0.2M Potassium Acetate, 10% (w/v) PEG3350, and 2.5% glycerol'",?
UniRef100_A0A0V7ZCB6,5JWR,0.9211588588225263,2.610,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,7.0,?,?,?,?,295,?,?,?,"'0.15M Ammonium Sulfate, 0.1M Tris pH 7.0, 10% PEG 4000'",?
UniRef100_A0A0V7ZCB6,4KUN,0.6104679760172285,1.950,23957615,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,6.5,,,,,298,,?,,"'0.2 M sodium acetate, 0.1 M bis-Tris pH 6.5, 35% w/v PEG 8K, 1 mM zinc acetate, VAPOR DIFFUSION, HANGING DROP, temperature 298K'",?
UniRef100_A0A0V7ZCB6,6X61,0.5,3.200,34618577,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,?,?,?,?,?,295,?,?,?,"'1.26 M NaH2PO4, 0.54 M K2HPO4 (pH unadjusted), 0.1 M Glycine pH 10.5, 0.2 M Li2SO4, 22 degrees C'",?
UniRef100_UPI000D060C85,1R5P,1.0,2.20,15071498,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,7.0,,,,,298.0,,?,,"'PEG 400, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K'",.
UniRef100_UPI000D060C85,2QKE,0.9939066795998169,2.7,18497745,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,5.0,,,,,293,,?,,"'10% PEG 3350, 10% DMSO, 0.1M ACETATE BUFFER, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_UPI000D060C85,1VGL,0.9797979797979798,2.6,16227211,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,4.5,,,,,293,,?,,"'PEG 3350, DMSO, acetate, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_UPI000D060C85,1WWJ,0.9797979797979798,1.90,15716274,,,1,,'VAPOR DIFFUSION',,6.0,,,,,298.0,,?,,"'betaine, pH 6.0, VAPOR DIFFUSION, temperature 298.0K'",.
UniRef100_UPI000D060C85,4KSO,0.9737046593977967,2.622,23796516,,,1,,'VAPOR DIFFUSION',,5.7,,,,,292,,?,,";KaiB were grown from droplets containing 6.5 mg/mL KaiB-KaiC complex, 20 mM Tris (pH 7.8), 100 mM NaCl, 5 mM MgCl2,1 mM ATP and 2 mM BME. The reservoir solution was 100 mM sodium acetate, 500 mM sodium formate and 5% glycerol (v/v), VAPOR DIFFUSION, temperature 292K
;",?
UniRef100_UPI000D060C85,5JWQ,0.9484521341452714,3.871,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,5.75,?,?,?,?,295,?,?,?,'0.1M Sodium citrate pH 5.75 and 22% PEG3000',?
UniRef100_UPI000D060C85,5JWO,0.9295884787629376,1.800,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,?,?,?,?,?,295,?,?,?,"'0.2M Potassium Acetate, 10% (w/v) PEG3350, and 2.5% glycerol'",?
UniRef100_UPI000D060C85,5JWR,0.9295884787629376,2.610,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,7.0,?,?,?,?,295,?,?,?,"'0.15M Ammonium Sulfate, 0.1M Tris pH 7.0, 10% PEG 4000'",?
UniRef100_UPI000D060C85,4KUN,0.49895718465032196,1.950,23957615,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,6.5,,,,,298,,?,,"'0.2 M sodium acetate, 0.1 M bis-Tris pH 6.5, 35% w/v PEG 8K, 1 mM zinc acetate, VAPOR DIFFUSION, HANGING DROP, temperature 298K'",?
UniRef100_UPI001F4E54B1,1R5P,1.0,2.20,15071498,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,7.0,,,,,298.0,,?,,"'PEG 400, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K'",.
UniRef100_UPI001F4E54B1,2QKE,0.9939066795998169,2.7,18497745,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,5.0,,,,,293,,?,,"'10% PEG 3350, 10% DMSO, 0.1M ACETATE BUFFER, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_UPI001F4E54B1,1VGL,0.9848484848484849,2.6,16227211,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,4.5,,,,,293,,?,,"'PEG 3350, DMSO, acetate, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_UPI001F4E54B1,1WWJ,0.9797979797979798,1.90,15716274,,,1,,'VAPOR DIFFUSION',,6.0,,,,,298.0,,?,,"'betaine, pH 6.0, VAPOR DIFFUSION, temperature 298.0K'",.
UniRef100_UPI001F4E54B1,4KSO,0.9787551644483017,2.622,23796516,,,1,,'VAPOR DIFFUSION',,5.7,,,,,292,,?,,";KaiB were grown from droplets containing 6.5 mg/mL KaiB-KaiC complex, 20 mM Tris (pH 7.8), 100 mM NaCl, 5 mM MgCl2,1 mM ATP and 2 mM BME. The reservoir solution was 100 mM sodium acetate, 500 mM sodium formate and 5% glycerol (v/v), VAPOR DIFFUSION, temperature 292K
;",?
UniRef100_UPI001F4E54B1,5JWQ,0.9484521341452714,3.871,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,5.75,?,?,?,?,295,?,?,?,'0.1M Sodium citrate pH 5.75 and 22% PEG3000',?
UniRef100_UPI001F4E54B1,5JWO,0.9346389838134427,1.800,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,?,?,?,?,?,295,?,?,?,"'0.2M Potassium Acetate, 10% (w/v) PEG3350, and 2.5% glycerol'",?
UniRef100_UPI001F4E54B1,5JWR,0.9346389838134427,2.610,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,7.0,?,?,?,?,295,?,?,?,"'0.15M Ammonium Sulfate, 0.1M Tris pH 7.0, 10% PEG 4000'",?
UniRef100_UPI001F4E54B1,4KUN,0.49895718465032196,1.950,23957615,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,6.5,,,,,298,,?,,"'0.2 M sodium acetate, 0.1 M bis-Tris pH 6.5, 35% w/v PEG 8K, 1 mM zinc acetate, VAPOR DIFFUSION, HANGING DROP, temperature 298K'",?
UniRef100_UPI0020CC7426,1R5P,1.0,2.20,15071498,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,7.0,,,,,298.0,,?,,"'PEG 400, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K'",.
UniRef100_UPI0020CC7426,2QKE,0.9939066795998169,2.7,18497745,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,5.0,,,,,293,,?,,"'10% PEG 3350, 10% DMSO, 0.1M ACETATE BUFFER, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_UPI0020CC7426,1VGL,0.9848484848484849,2.6,16227211,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,4.5,,,,,293,,?,,"'PEG 3350, DMSO, acetate, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_UPI0020CC7426,1WWJ,0.9797979797979798,1.90,15716274,,,1,,'VAPOR DIFFUSION',,6.0,,,,,298.0,,?,,"'betaine, pH 6.0, VAPOR DIFFUSION, temperature 298.0K'",.
UniRef100_UPI0020CC7426,4KSO,0.9787551644483017,2.622,23796516,,,1,,'VAPOR DIFFUSION',,5.7,,,,,292,,?,,";KaiB were grown from droplets containing 6.5 mg/mL KaiB-KaiC complex, 20 mM Tris (pH 7.8), 100 mM NaCl, 5 mM MgCl2,1 mM ATP and 2 mM BME. The reservoir solution was 100 mM sodium acetate, 500 mM sodium formate and 5% glycerol (v/v), VAPOR DIFFUSION, temperature 292K
;",?
UniRef100_UPI0020CC7426,5JWQ,0.9484521341452714,3.871,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,5.75,?,?,?,?,295,?,?,?,'0.1M Sodium citrate pH 5.75 and 22% PEG3000',?
UniRef100_UPI0020CC7426,5JWO,0.9346389838134427,1.800,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,?,?,?,?,?,295,?,?,?,"'0.2M Potassium Acetate, 10% (w/v) PEG3350, and 2.5% glycerol'",?
UniRef100_UPI0020CC7426,5JWR,0.9346389838134427,2.610,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,7.0,?,?,?,?,295,?,?,?,"'0.15M Ammonium Sulfate, 0.1M Tris pH 7.0, 10% PEG 4000'",?
UniRef100_UPI0020CC7426,4KUN,0.49895718465032196,1.950,23957615,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,6.5,,,,,298,,?,,"'0.2 M sodium acetate, 0.1 M bis-Tris pH 6.5, 35% w/v PEG 8K, 1 mM zinc acetate, VAPOR DIFFUSION, HANGING DROP, temperature 298K'",?
UniRef100_UPI001F54C68D,1R5P,1.0,2.20,15071498,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,7.0,,,,,298.0,,?,,"'PEG 400, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K'",.
UniRef100_UPI001F54C68D,2QKE,0.9939066795998169,2.7,18497745,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,5.0,,,,,293,,?,,"'10% PEG 3350, 10% DMSO, 0.1M ACETATE BUFFER, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_UPI001F54C68D,1VGL,0.9848484848484849,2.6,16227211,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,4.5,,,,,293,,?,,"'PEG 3350, DMSO, acetate, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_UPI001F54C68D,1WWJ,0.9797979797979798,1.90,15716274,,,1,,'VAPOR DIFFUSION',,6.0,,,,,298.0,,?,,"'betaine, pH 6.0, VAPOR DIFFUSION, temperature 298.0K'",.
UniRef100_UPI001F54C68D,4KSO,0.9787551644483017,2.622,23796516,,,1,,'VAPOR DIFFUSION',,5.7,,,,,292,,?,,";KaiB were grown from droplets containing 6.5 mg/mL KaiB-KaiC complex, 20 mM Tris (pH 7.8), 100 mM NaCl, 5 mM MgCl2,1 mM ATP and 2 mM BME. The reservoir solution was 100 mM sodium acetate, 500 mM sodium formate and 5% glycerol (v/v), VAPOR DIFFUSION, temperature 292K
;",?
UniRef100_UPI001F54C68D,5JWQ,0.9484521341452714,3.871,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,5.75,?,?,?,?,295,?,?,?,'0.1M Sodium citrate pH 5.75 and 22% PEG3000',?
UniRef100_UPI001F54C68D,5JWO,0.9346389838134427,1.800,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,?,?,?,?,?,295,?,?,?,"'0.2M Potassium Acetate, 10% (w/v) PEG3350, and 2.5% glycerol'",?
UniRef100_UPI001F54C68D,5JWR,0.9346389838134427,2.610,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,7.0,?,?,?,?,295,?,?,?,"'0.15M Ammonium Sulfate, 0.1M Tris pH 7.0, 10% PEG 4000'",?
UniRef100_UPI001F54C68D,4KUN,0.49895718465032196,1.950,23957615,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,6.5,,,,,298,,?,,"'0.2 M sodium acetate, 0.1 M bis-Tris pH 6.5, 35% w/v PEG 8K, 1 mM zinc acetate, VAPOR DIFFUSION, HANGING DROP, temperature 298K'",?
UniRef100_UPI0020CD31E5,1R5P,1.0,2.20,15071498,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,7.0,,,,,298.0,,?,,"'PEG 400, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K'",.
UniRef100_UPI0020CD31E5,2QKE,0.9939066795998169,2.7,18497745,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,5.0,,,,,293,,?,,"'10% PEG 3350, 10% DMSO, 0.1M ACETATE BUFFER, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_UPI0020CD31E5,1VGL,0.9848484848484849,2.6,16227211,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,4.5,,,,,293,,?,,"'PEG 3350, DMSO, acetate, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",.
UniRef100_UPI0020CD31E5,1WWJ,0.9797979797979798,1.90,15716274,,,1,,'VAPOR DIFFUSION',,6.0,,,,,298.0,,?,,"'betaine, pH 6.0, VAPOR DIFFUSION, temperature 298.0K'",.
UniRef100_UPI0020CD31E5,4KSO,0.9787551644483017,2.622,23796516,,,1,,'VAPOR DIFFUSION',,5.7,,,,,292,,?,,";KaiB were grown from droplets containing 6.5 mg/mL KaiB-KaiC complex, 20 mM Tris (pH 7.8), 100 mM NaCl, 5 mM MgCl2,1 mM ATP and 2 mM BME. The reservoir solution was 100 mM sodium acetate, 500 mM sodium formate and 5% glycerol (v/v), VAPOR DIFFUSION, temperature 292K
;",?
UniRef100_UPI0020CD31E5,5JWQ,0.9484521341452714,3.871,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,5.75,?,?,?,?,295,?,?,?,'0.1M Sodium citrate pH 5.75 and 22% PEG3000',?
UniRef100_UPI0020CD31E5,5JWO,0.9346389838134427,1.800,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,?,?,?,?,?,295,?,?,?,"'0.2M Potassium Acetate, 10% (w/v) PEG3350, and 2.5% glycerol'",?
UniRef100_UPI0020CD31E5,5JWR,0.9346389838134427,2.610,28302851,?,?,1,?,"'VAPOR DIFFUSION, HANGING DROP'",?,7.0,?,?,?,?,295,?,?,?,"'0.15M Ammonium Sulfate, 0.1M Tris pH 7.0, 10% PEG 4000'",?
UniRef100_UPI0020CD31E5,4KUN,0.49895718465032196,1.950,23957615,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,6.5,,,,,298,,?,,"'0.2 M sodium acetate, 0.1 M bis-Tris pH 6.5, 35% w/v PEG 8K, 1 mM zinc acetate, VAPOR DIFFUSION, HANGING DROP, temperature 298K'",?
UniRef100_A0A6P2AIM1,1R5P,1.0,2.20,15071498,,,1,,"'VAPOR DIFFUSION, HANGING DROP'",,7.0,,,,,298.0,,?,,"'PEG 400, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K'",.
UniRef100_A0A6P2AIM1,1WWJ,0.9805825242718447,1.90,15716274,,,1,,'VAPOR DIFFUSION',,6.0,,,,,298.0,,?,,"'betaine, pH 6.0, VAPOR DIFFUSION, temperature 298.0K'",.
